,date,btc_p
0,2016-01-01,431.31
1,2016-01-02,431.5053
2,2016-01-03,434.98
3,2016-01-04,426.57
4,2016-01-05,431.08414
5,2016-01-06,431.32
6,2016-01-07,429.99
7,2016-01-08,457.88354
8,2016-01-09,455.22
9,2016-01-10,451.38
10,2016-01-11,449.13
11,2016-01-12,452.2306
12,2016-01-13,440.0
13,2016-01-14,433.9817
14,2016-01-15,430.57504
15,2016-01-16,364.49
16,2016-01-17,0.0
17,2016-01-18,381.95023
18,2016-01-19,390.1
19,2016-01-20,381.10022
20,2016-01-21,419.0501
21,2016-01-22,412.31
22,2016-01-23,383.25
23,2016-01-24,385.80984
24,2016-01-25,400.6801
25,2016-01-26,394.01
26,2016-01-27,395.95
27,2016-01-28,395.35535
28,2016-01-29,380.0
29,2016-01-30,379.9156
30,2016-01-31,378.0001
31,2016-02-01,369.1899
32,2016-02-02,372.19
33,2016-02-03,373.4899
34,2016-02-04,368.14
35,2016-02-05,389.71
36,2016-02-06,387.22
37,2016-02-07,375.7
38,2016-02-08,372.1236
39,2016-02-09,373.47
40,2016-02-10,374.44476
41,2016-02-11,380.0
42,2016-02-12,377.76
43,2016-02-13,380.91
44,2016-02-14,390.0
45,2016-02-15,404.7508
46,2016-02-16,392.0009
47,2016-02-17,405.5
48,2016-02-18,413.86
49,2016-02-19,421.17
50,2016-02-20,417.5813
51,2016-02-21,435.47937
52,2016-02-22,433.389
53,2016-02-23,433.5111
54,2016-02-24,417.47006
55,2016-02-25,423.2028
56,2016-02-26,421.85
57,2016-02-27,433.0
58,2016-02-28,432.92
59,2016-02-29,430.7793
60,2016-03-01,438.24
61,2016-03-02,431.48
62,2016-03-03,421.17
63,2016-03-04,419.621
64,2016-03-05,406.67
65,2016-03-06,393.161
66,2016-03-07,400.649
67,2016-03-08,410.01
68,2016-03-09,412.04
69,2016-03-10,411.93
70,2016-03-11,415.83
71,2016-03-12,420.349
72,2016-03-13,406.655
73,2016-03-14,408.32
74,2016-03-15,414.431
75,2016-03-16,415.14
76,2016-03-17,418.166
77,2016-03-18,419.812
78,2016-03-19,407.901
79,2016-03-20,409.53
80,2016-03-21,413.639
81,2016-03-22,412.318
82,2016-03-23,417.16
83,2016-03-24,416.0
84,2016-03-25,415.04
85,2016-03-26,416.135
86,2016-03-27,417.573
87,2016-03-28,425.007
88,2016-03-29,423.0
89,2016-03-30,416.7
90,2016-03-31,412.432
91,2016-04-01,416.1
92,2016-04-02,417.9
93,2016-04-03,421.0
94,2016-04-04,421.497
95,2016-04-05,420.99
96,2016-04-06,422.76
97,2016-04-07,423.55
98,2016-04-08,422.01
99,2016-04-09,418.551
100,2016-04-10,418.079
101,2016-04-11,420.8
102,2016-04-12,423.53
103,2016-04-13,426.71
104,2016-04-14,423.541
105,2016-04-15,424.519
106,2016-04-16,429.25
107,2016-04-17,428.649
108,2016-04-18,427.55
109,2016-04-19,427.42
110,2016-04-20,436.277
111,2016-04-21,440.965
112,2016-04-22,450.118
113,2016-04-23,447.559
114,2016-04-24,450.711
115,2016-04-25,459.5
116,2016-04-26,461.882
117,2016-04-27,467.5
118,2016-04-28,444.01
119,2016-04-29,450.42
120,2016-04-30,457.236
121,2016-05-01,448.906
122,2016-05-02,452.072
123,2016-05-03,444.535
124,2016-05-04,451.75
125,2016-05-05,447.841
126,2016-05-06,448.71
127,2016-05-07,462.341
128,2016-05-08,459.47
129,2016-05-09,459.1
130,2016-05-10,461.99
131,2016-05-11,452.13
132,2016-05-12,453.21
133,2016-05-13,455.95
134,2016-05-14,456.281
135,2016-05-15,454.581
136,2016-05-16,457.649
137,2016-05-17,453.769
138,2016-05-18,453.283
139,2016-05-19,452.35
140,2016-05-20,429.0
141,2016-05-21,435.255
142,2016-05-22,438.551
143,2016-05-23,437.45
144,2016-05-24,442.99
145,2016-05-25,444.516
146,2016-05-26,448.3
147,2016-05-27,452.409
148,2016-05-28,471.471
149,2016-05-29,522.0
150,2016-05-30,518.982
151,2016-05-31,529.0
152,2016-06-01,531.19
153,2016-06-02,535.565
154,2016-06-03,537.122
155,2016-06-04,569.0
156,2016-06-05,572.447
157,2016-06-06,574.074
158,2016-06-07,585.0
159,2016-06-08,578.2
160,2016-06-09,581.98
161,2016-06-10,575.014
162,2016-06-11,579.77
163,2016-06-12,609.421
164,2016-06-13,667.063
165,2016-06-14,703.369
166,2016-06-15,685.75
167,2016-06-16,696.0
168,2016-06-17,763.008
169,2016-06-18,749.67
170,2016-06-19,758.11
171,2016-06-20,765.49
172,2016-06-21,735.39
173,2016-06-22,667.725
174,2016-06-23,601.936
175,2016-06-24,627.375
176,2016-06-25,672.203
177,2016-06-26,673.893
178,2016-06-27,630.0
179,2016-06-28,663.498
180,2016-06-29,649.322
181,2016-06-30,643.119
