date,wti_oil_pprice,brent_oil_p,gold_p,silver_p,steel_price
04/01/2016,36.81,37.22,1075.2,13.84,0.7704
06/01/2016,33.97,34.23,1091.9,13.98,0.7154
07/01/2016,33.29,33.75,1107.8,14.34,0.6355
08/01/2016,33.2,33.55,1097.9,13.92,0.6398
11/01/2016,31.42,31.55,1096.2,13.87,0.6573
12/01/2016,30.42,30.86,1085.2,13.75,0.626
13/01/2016,30.42,30.31,1087.1,14.16,0.6125
14/01/2016,31.22,31.03,1073.6,13.75,0.646
15/01/2016,29.45,28.94,1090.7,13.9,0.6509
19/01/2016,28.47,28.76,1089.1,14.12,0.6335
20/01/2016,26.68,27.88,1106.2,14.16,0.6083
21/01/2016,29.55,29.25,1098.2,14.09,0.6416
22/01/2016,32.07,32.18,1096.3,14.06,0.677
25/01/2016,30.31,30.5,1105.6,14.25,0.6291
26/01/2016,29.54,31.8,1120.6,14.56,0.6833
27/01/2016,32.32,33.1,1116.3,14.46,0.6749
28/01/2016,33.21,33.89,1116.1,14.23,0.6912
29/01/2016,33.66,34.74,1116.4,14.24,0.6416
02/02/2016,29.9,32.72,1127.2,14.29,0.8416
03/02/2016,32.29,35.04,1141.3,14.73,0.8083
08/02/2016,29.71,32.88,1197.9,15.43,0.8416
09/02/2016,27.96,30.32,1198.6,15.45,0.8499
11/02/2016,26.19,30.06,1247.8,15.79,0.7799
12/02/2016,29.32,33.36,1239.4,15.79,0.8112
16/02/2016,29.05,32.18,1208.2,15.33,0.8666
17/02/2016,30.68,34.5,1211.4,15.38,0.9083
18/02/2016,30.77,34.28,1226.3,15.46,0.9083
19/02/2016,29.59,33.01,1230.8,15.4,0.9333
22/02/2016,31.37,34.69,1210.1,15.22,1.0249
23/02/2016,31.84,33.27,1222.6,15.28,1.0583
24/02/2016,30.35,34.41,1239.1,15.33,1.0749
25/02/2016,31.4,35.29,1238.8,15.2,1.0916
26/02/2016,31.65,35.1,1220.4,14.71,1.0333
29/02/2016,32.74,35.97,1234.4,14.92,1.0916
02/03/2016,34.57,36.93,1241.8,15.02,1.1749
03/03/2016,34.56,37.07,1258.2,15.15,1.4082
08/03/2016,36.67,39.65,1262.9,15.39,1.5749
10/03/2016,37.77,40.05,1272.8,15.55,1.6832
11/03/2016,38.51,40.39,1259.4,15.61,1.6415
14/03/2016,37.2,39.53,1245.1,15.52,1.6499
15/03/2016,36.32,38.74,1231.0,15.26,1.3832
16/03/2016,38.43,40.33,1229.8,15.22,1.4999
17/03/2016,40.17,41.54,1265.0,16.03,1.7915
18/03/2016,39.47,41.2,1254.3,15.81,1.8165
21/03/2016,39.91,41.54,1244.2,15.85,1.8249
22/03/2016,41.45,41.79,1250.3,15.89,1.8915
23/03/2016,38.28,40.47,1225.6,15.27,1.7332
24/03/2016,38.14,40.44,1223.5,15.2,1.7832
29/03/2016,36.91,39.14,1237.5,15.23,1.7165
30/03/2016,36.91,39.26,1228.6,15.21,1.6999
31/03/2016,36.94,39.6,1235.6,15.46,1.6415
01/04/2016,35.36,38.67,1223.5,15.05,1.7249
04/04/2016,34.3,37.69,1219.3,14.94,1.6165
05/04/2016,34.52,37.87,1229.6,15.12,1.7582
07/04/2016,37.3,39.43,1237.5,15.16,1.7165
08/04/2016,39.74,41.94,1243.8,15.38,1.9249
11/04/2016,40.46,42.83,1258.0,15.98,2.1498
13/04/2016,41.7,44.18,1248.3,16.33,3.0998
14/04/2016,41.45,43.84,1226.5,16.17,2.7081
15/04/2016,40.4,43.1,1234.6,16.31,2.7998
18/04/2016,39.74,42.91,1235.0,16.25,2.7831
19/04/2016,40.88,44.03,1254.3,16.97,3.1081
20/04/2016,42.72,45.8,1254.4,17.18,3.1498
21/04/2016,43.18,44.53,1250.3,17.14,3.0164
22/04/2016,42.76,45.11,1230.0,16.95,3.0831
25/04/2016,41.67,44.48,1240.2,17.06,2.8248
26/04/2016,42.52,45.74,1243.4,17.16,2.8664
27/04/2016,45.29,47.18,1250.4,17.34,3.0498
28/04/2016,46.03,48.14,1266.4,17.59,3.0498
29/04/2016,45.98,48.13,1290.5,17.82,3.1498
02/05/2016,44.75,45.83,1295.8,17.68,3.0498
04/05/2016,43.77,44.62,1274.4,17.3,2.7665
05/05/2016,44.33,45.01,1272.3,17.327,2.5748
09/05/2016,43.45,43.63,1266.6,17.089,2.3498
10/05/2016,44.68,45.52,1264.8,17.092,2.4915
12/05/2016,46.64,48.08,1271.2,17.103,2.2998
13/05/2016,46.22,47.83,1272.7,17.132,1.9915
16/05/2016,47.72,48.97,1274.2,17.154,1.9748
17/05/2016,48.29,49.28,1276.9,17.25,1.9748
18/05/2016,48.12,48.93,1274.4,17.132,1.8415
19/05/2016,48.16,48.81,1254.8,16.493,1.7332
20/05/2016,47.67,48.72,1252.9,16.532,1.7332
23/05/2016,48.12,48.35,1254.9,16.423,1.6915
24/05/2016,48.04,48.61,1232.2,16.254,1.6165
25/05/2016,49.1,49.74,1226.6,16.261,1.5832
26/05/2016,49,49.59,1222.7,16.343,1.6332
27/05/2016,49.36,49.32,1216.7,16.269,1.5165
31/05/2016,49.1,49.69,1217.5,15.994,1.4999
01/06/2016,49.07,49.72,1214.7,15.927,1.4916
06/06/2016,49.71,50.55,1247.4,16.447,1.7832
07/06/2016,50.37,51.44,1247.0,16.394,1.6832
09/06/2016,50.52,51.95,1272.7,17.268,1.8499
10/06/2016,49.09,50.54,1275.9,17.33,1.6915
13/06/2016,48.89,50.35,1286.9,17.443,1.6832
14/06/2016,48.49,49.83,1288.1,17.424,1.6082
15/06/2016,47.92,48.97,1288.3,17.503,1.6999
16/06/2016,46.14,47.19,1298.4,17.607,1.7415
17/06/2016,48,49.17,1294.8,17.411,1.7915
20/06/2016,49.4,50.65,1292.1,17.514,1.8332
21/06/2016,48.95,50.62,1272.5,17.374,1.8415
