date,btc_p,ltc_p,eth_p,xrp_p,doge_p
04/01/2016,426.57,3.493,0.96,0.00741781,0.000224188
06/01/2016,431.32,3.479,0.9426,0.00580939,0.000233578
07/01/2016,429.99,3.44,0.95,0.00678673,0.000302051
08/01/2016,457.88354,3.58399,0.94,0.00590626,0.000223013
11/01/2016,449.13,3.52817,1.0,0.00810233,0.000220988
12/01/2016,452.2306,3.59492,1.07,0.00670215,0.000214374
13/01/2016,440.0,3.522,1.2249,0.00579364,0.000177094
14/01/2016,433.9817,3.49,1.13741,0.00552936,0.000174839
15/01/2016,430.57504,3.48,1.17,0.00522933,0.000149139
19/01/2016,390.1,3.07283,1.46624,0.00527071,0.000148104
20/01/2016,381.10022,2.975,1.35506,0.00538087,0.00016804
21/01/2016,419.0501,3.41683,1.40261,0.00531257,0.000163254
22/01/2016,412.31,3.222,1.49593,0.00511437,0.000168246
25/01/2016,400.6801,3.13808,2.1,0.00513465,0.000211721
26/01/2016,394.01,3.06401,2.59554,0.005419,0.000356273
27/01/2016,395.95,3.13027,2.32771,0.00650588,0.000455076
28/01/2016,395.35535,3.35501,2.4,0.00622596,0.000344136
29/01/2016,380.0,3.12411,2.54645,0.00683954,0.000316405
02/02/2016,372.19,3.04003,2.16537,0.00676827,0.000262285
03/02/2016,373.4899,3.00316,2.44653,0.00803018,0.000244038
08/02/2016,372.1236,3.03,2.89791,0.00568961,0.000205658
09/02/2016,373.47,2.98943,3.18997,0.00596991,0.000234958
11/02/2016,380.0,3.06,4.35017,0.00822232,0.000220111
12/02/2016,377.76,2.92586,5.99986,0.00666045,0.00021611
16/02/2016,392.0009,3.04434,5.15216,0.00845089,0.000291608
17/02/2016,405.5,3.13609,4.25011,0.00813791,0.000278482
18/02/2016,413.86,3.17947,3.7909,0.0079953,0.000277825
19/02/2016,421.17,3.19,4.4891,0.00824475,0.00029683
22/02/2016,433.389,3.42,4.63,0.00805031,0.000282672
23/02/2016,433.5111,3.39,5.598,0.00796969,0.000279807
24/02/2016,417.47006,3.41042,5.55,0.00807609,0.000277561
25/02/2016,423.2028,3.30226,6.23427,0.00802735,0.000269377
26/02/2016,421.85,3.37213,6.09999,0.00805793,0.000259282
29/02/2016,430.7793,3.38838,6.49862,0.00792256,0.000249722
02/03/2016,431.48,3.34515,7.55,0.00688256,0.000265091
03/03/2016,421.17,3.25417,8.41,0.00816162,0.000244975
08/03/2016,410.01,3.24997,9.487,0.00564585,0.000214071
10/03/2016,411.93,3.24532,11.55,0.00808921,0.000233633
11/03/2016,415.83,3.22005,11.19,0.0080211,0.000217184
14/03/2016,408.32,3.27333,14.39791,0.00847896,0.000238259
15/03/2016,414.431,3.25,12.59969,0.00818572,0.000231457
16/03/2016,415.14,3.29,13.13707,0.00817845,0.000230536
17/03/2016,418.166,3.29,12.54,0.00828658,0.00022273
18/03/2016,419.812,3.26422,10.94,0.00811926,0.000209456
