date,usd_gbp,usd_gbp_ %,usd_eur,usd_eur_%,usd_yuan,usd_yuan_%,usd_yen,usd_yen_ %
04/01/2016,0.6794,0.19%,0.9232,0.26%,6.5354,0.64%,119.44,-0.74%
06/01/2016,0.6836,0.31%,0.9275,-0.31%,6.5566,0.64%,118.47,-0.50%
07/01/2016,0.6841,0.07%,0.9144,-1.41%,6.5929,0.55%,117.68,-0.67%
08/01/2016,0.6887,0.67%,0.9148,0.04%,6.5965,0.05%,117.45,-0.20%
11/01/2016,0.6876,-0.16%,0.9208,0.66%,6.5695,-0.41%,117.77,0.27%
12/01/2016,0.6922,0.67%,0.921,0.02%,6.5725,0.05%,117.64,-0.11%
13/01/2016,0.6942,0.29%,0.9194,-0.17%,6.5754,0.04%,117.69,0.04%
14/01/2016,0.6937,-0.07%,0.9204,0.11%,6.5901,0.22%,118.05,0.31%
15/01/2016,0.7014,1.11%,0.9161,-0.47%,6.5849,-0.08%,117.06,-0.84%
19/01/2016,0.7066,0.64%,0.9167,-0.15%,6.5785,-0.01%,117.64,0.26%
20/01/2016,0.7046,-0.28%,0.9182,0.16%,6.5784,0.00%,116.94,-0.60%
21/01/2016,0.7032,-0.20%,0.9196,0.15%,6.58,0.02%,117.7,0.65%
22/01/2016,0.701,-0.31%,0.9262,0.72%,6.5791,-0.01%,118.78,0.92%
25/01/2016,0.7018,0.11%,0.9218,-0.48%,6.5793,0.00%,118.3,-0.40%
26/01/2016,0.6968,-0.71%,0.9198,-0.22%,6.5825,0.05%,118.42,0.10%
27/01/2016,0.7026,0.83%,0.9181,-0.18%,6.5778,-0.07%,118.67,0.21%
28/01/2016,0.6963,-0.90%,0.9142,-0.42%,6.5751,-0.04%,118.83,0.13%
29/01/2016,0.7019,0.80%,0.9228,0.94%,6.5761,0.02%,121.06,1.88%
02/02/2016,0.694,0.17%,0.9159,-0.27%,6.5798,0.02%,119.97,-0.83%
03/02/2016,0.6847,-1.34%,0.9005,-1.68%,6.577,-0.04%,117.92,-1.71%
08/02/2016,0.6929,0.49%,0.8931,-0.35%,6.5739,0.00%,115.84,-0.91%
09/02/2016,0.691,-0.27%,0.8855,-0.85%,6.5739,0.00%,115.11,-0.63%
11/02/2016,0.6907,0.30%,0.8831,-0.30%,6.5739,0.00%,112.42,-0.81%
12/02/2016,0.6893,-0.20%,0.8881,0.57%,6.5739,0.00%,113.22,0.71%
16/02/2016,0.699,0.89%,0.8973,0.10%,6.5169,0.32%,114.08,-0.44%
17/02/2016,0.6995,0.07%,0.8986,0.14%,6.5282,0.17%,114.11,0.03%
18/02/2016,0.6976,-0.27%,0.9003,0.19%,6.5188,-0.14%,113.25,-0.75%
19/02/2016,0.6942,-0.49%,0.8981,-0.24%,6.5224,0.06%,112.57,-0.60%
22/02/2016,0.7067,1.80%,0.9066,0.95%,6.5218,-0.01%,112.92,0.31%
23/02/2016,0.7131,0.91%,0.9074,0.09%,6.5271,0.08%,112.11,-0.72%
24/02/2016,0.718,0.69%,0.9081,0.08%,6.5317,0.07%,112.19,0.07%
25/02/2016,0.7161,-0.26%,0.9072,-0.10%,6.5335,0.03%,113.0,0.72%
26/02/2016,0.7209,0.67%,0.9145,0.80%,6.5404,0.11%,114.0,0.88%
29/02/2016,0.7186,-0.32%,0.9197,0.57%,6.554,0.21%,112.69,-1.15%
02/03/2016,0.7103,-0.92%,0.9202,-0.01%,6.551,-0.02%,113.48,-0.46%
03/03/2016,0.7053,-0.70%,0.9125,-0.84%,6.5314,-0.30%,113.69,0.19%
08/03/2016,0.7037,0.39%,0.9086,0.07%,6.5047,-0.19%,112.61,-0.76%
10/03/2016,0.7004,-0.40%,0.8947,-1.53%,6.5085,-0.07%,113.19,-0.13%
