date,btc_p,ltc_p,eth_p,xrp_p,doge_p,usd_gbp,usd_gbp_ %,usd_eur,usd_eur_%,usd_yuan,usd_yuan_%,usd_yen,usd_yen_ %,wti_oil_pprice,brent_oil_p,gold_p,silver_p,steel_price,LIBOR,eonia,fed_rate
04/01/2016,426.57,3.493,0.96,0.00741781,0.000224188,0.6794,0.19%,0.9232,0.26%,6.5354,0.64%,119.44,-0.74%,36.81,37.22,1075.2,13.84,0.7704,0.3791,-0.335,0.37
06/01/2016,431.32,3.479,0.9426,0.00580939,0.000233578,0.6836,0.31%,0.9275,-0.31%,6.5566,0.64%,118.47,-0.50%,33.97,34.23,1091.9,13.98,0.7154,0.3855,-0.333,0.37
07/01/2016,429.99,3.44,0.95,0.00678673,0.000302051,0.6841,0.07%,0.9144,-1.41%,6.5929,0.55%,117.68,-0.67%,33.29,33.75,1107.8,14.34,0.6355,0.4061,-0.321,0.41
08/01/2016,457.88354,3.58399,0.94,0.00590626,0.000223013,0.6887,0.67%,0.9148,0.04%,6.5965,0.05%,117.45,-0.20%,33.2,33.55,1097.9,13.92,0.6398,0.4144,-0.33,0.4
11/01/2016,449.13,3.52817,1.0,0.00810233,0.000220988,0.6876,-0.16%,0.9208,0.66%,6.5695,-0.41%,117.77,0.27%,31.42,31.55,1096.2,13.87,0.6573,0.43456,-0.348,0.41
12/01/2016,452.2306,3.59492,1.07,0.00670215,0.000214374,0.6922,0.67%,0.921,0.02%,6.5725,0.05%,117.64,-0.11%,30.42,30.86,1085.2,13.75,0.626,0.43422,-0.344,0.41
13/01/2016,440.0,3.522,1.2249,0.00579364,0.000177094,0.6942,0.29%,0.9194,-0.17%,6.5754,0.04%,117.69,0.04%,30.42,30.31,1087.1,14.16,0.6125,0.3663,-0.237,0.36
14/01/2016,433.9817,3.49,1.13741,0.00552936,0.000174839,0.6937,-0.07%,0.9204,0.11%,6.5901,0.22%,118.05,0.31%,31.22,31.03,1073.6,13.75,0.646,0.3661,-0.24,0.36
15/01/2016,430.57504,3.48,1.17,0.00522933,0.000149139,0.7014,1.11%,0.9161,-0.47%,6.5849,-0.08%,117.06,-0.84%,29.45,28.94,1090.7,13.9,0.6509,0.3661,-0.239,0.36
19/01/2016,390.1,3.07283,1.46624,0.00527071,0.000148104,0.7066,0.64%,0.9167,-0.15%,6.5785,-0.01%,117.64,0.26%,28.47,28.76,1089.1,14.12,0.6335,0.366,-0.239,0.36
20/01/2016,381.10022,2.975,1.35506,0.00538087,0.00016804,0.7046,-0.28%,0.9182,0.16%,6.5784,0.00%,116.94,-0.60%,26.68,27.88,1106.2,14.16,0.6083,0.3655,-0.238,0.37
21/01/2016,419.0501,3.41683,1.40261,0.00531257,0.000163254,0.7032,-0.20%,0.9196,0.15%,6.58,0.02%,117.7,0.65%,29.55,29.25,1098.2,14.09,0.6416,0.3658,-0.24,0.37
22/01/2016,412.31,3.222,1.49593,0.00511437,0.000168246,0.701,-0.31%,0.9262,0.72%,6.5791,-0.01%,118.78,0.92%,32.07,32.18,1096.3,14.06,0.677,0.3659,-0.241,0.38
25/01/2016,400.6801,3.13808,2.1,0.00513465,0.000211721,0.7018,0.11%,0.9218,-0.48%,6.5793,0.00%,118.3,-0.40%,30.31,30.5,1105.6,14.25,0.6291,0.366,-0.238,0.38
26/01/2016,394.01,3.06401,2.59554,0.005419,0.000356273,0.6968,-0.71%,0.9198,-0.22%,6.5825,0.05%,118.42,0.10%,29.54,31.8,1120.6,14.56,0.6833,0.3657,-0.236,0.38
27/01/2016,395.95,3.13027,2.32771,0.00650588,0.000455076,0.7026,0.83%,0.9181,-0.18%,6.5778,-0.07%,118.67,0.21%,32.32,33.1,1116.3,14.46,0.6749,0.3659,-0.237,0.38
28/01/2016,395.35535,3.35501,2.4,0.00622596,0.000344136,0.6963,-0.90%,0.9142,-0.42%,6.5751,-0.04%,118.83,0.13%,33.21,33.89,1116.1,14.23,0.6912,0.3684,-0.239,0.38
29/01/2016,380.0,3.12411,2.54645,0.00683954,0.000316405,0.7019,0.80%,0.9228,0.94%,6.5761,0.02%,121.06,1.88%,33.66,34.74,1116.4,14.24,0.6416,0.3674,-0.228,0.29
02/02/2016,372.19,3.04003,2.16537,0.00676827,0.000262285,0.694,0.17%,0.9159,-0.27%,6.5798,0.02%,119.97,-0.83%,29.9,32.72,1127.2,14.29,0.8416,0.369,-0.232,0.38
03/02/2016,373.4899,3.00316,2.44653,0.00803018,0.000244038,0.6847,-1.34%,0.9005,-1.68%,6.577,-0.04%,117.92,-1.71%,32.29,35.04,1141.3,14.73,0.8083,0.3715,-0.234,0.37
08/02/2016,372.1236,3.03,2.89791,0.00568961,0.000205658,0.6929,0.49%,0.8931,-0.35%,6.5739,0.00%,115.84,-0.91%,29.71,32.88,1197.9,15.43,0.8416,0.4179,-0.331,0.4
