,date,ltc_p
0,2016-01-01,3.4801
1,2016-01-02,3.485
2,2016-01-03,3.5
3,2016-01-04,3.493
4,2016-01-05,3.43589
5,2016-01-06,3.479
6,2016-01-07,3.44
7,2016-01-08,3.58399
8,2016-01-09,3.54
9,2016-01-10,3.63373
10,2016-01-11,3.52817
11,2016-01-12,3.59492
12,2016-01-13,3.522
13,2016-01-14,3.49
14,2016-01-15,3.48
15,2016-01-16,3.025
16,2016-01-17,3.13
17,2016-01-18,3.03522
18,2016-01-19,3.07283
19,2016-01-20,2.975
20,2016-01-21,3.41683
21,2016-01-22,3.222
22,2016-01-23,3.05926
23,2016-01-24,3.09818
24,2016-01-25,3.13808
25,2016-01-26,3.06401
26,2016-01-27,3.13027
27,2016-01-28,3.35501
28,2016-01-29,3.12411
29,2016-01-30,3.12251
30,2016-01-31,3.07
31,2016-02-01,3.03255
32,2016-02-02,3.04003
33,2016-02-03,3.00316
34,2016-02-04,3.02
35,2016-02-05,3.10443
36,2016-02-06,3.11
37,2016-02-07,3.1184
38,2016-02-08,3.03
39,2016-02-09,2.98943
40,2016-02-10,3.05
41,2016-02-11,3.06
42,2016-02-12,2.92586
43,2016-02-13,3.02501
44,2016-02-14,3.04433
45,2016-02-15,3.14
46,2016-02-16,3.04434
47,2016-02-17,3.13609
48,2016-02-18,3.17947
49,2016-02-19,3.19
50,2016-02-20,3.201
51,2016-02-21,3.41555
52,2016-02-22,3.42
53,2016-02-23,3.39
54,2016-02-24,3.41042
55,2016-02-25,3.30226
56,2016-02-26,3.37213
57,2016-02-27,3.39065
58,2016-02-28,3.37
59,2016-02-29,3.38838
60,2016-03-01,3.37701
61,2016-03-02,3.34515
62,2016-03-03,3.25417
63,2016-03-04,3.21
64,2016-03-05,3.23703
65,2016-03-06,3.11255
66,2016-03-07,3.17857
67,2016-03-08,3.24997
68,2016-03-09,3.25205
69,2016-03-10,3.24532
70,2016-03-11,3.22005
71,2016-03-12,3.30419
72,2016-03-13,3.19561
73,2016-03-14,3.27333
74,2016-03-15,3.25
75,2016-03-16,3.29
76,2016-03-17,3.29
77,2016-03-18,3.26422
78,2016-03-19,3.14133
79,2016-03-20,3.16
80,2016-03-21,3.16214
81,2016-03-22,3.16013
82,2016-03-23,3.18301
83,2016-03-24,3.18764
84,2016-03-25,3.02613
85,2016-03-26,3.16
86,2016-03-27,3.23999
87,2016-03-28,3.27648
88,2016-03-29,3.23001
89,2016-03-30,3.2317
90,2016-03-31,3.16109
91,2016-04-01,3.29989
92,2016-04-02,3.26752
93,2016-04-03,3.25591
94,2016-04-04,3.24118
95,2016-04-05,3.24
96,2016-04-06,3.24
97,2016-04-07,3.23001
98,2016-04-08,3.24
99,2016-04-09,3.24
100,2016-04-10,3.21803
101,2016-04-11,3.19009
102,2016-04-12,3.22001
103,2016-04-13,3.27129
104,2016-04-14,3.21633
105,2016-04-15,3.21
106,2016-04-16,3.29607
107,2016-04-17,3.28
108,2016-04-18,3.24001
109,2016-04-19,3.24191
110,2016-04-20,3.24783
111,2016-04-21,3.22516
112,2016-04-22,3.35
113,2016-04-23,3.34191
114,2016-04-24,3.26053
115,2016-04-25,3.64863
116,2016-04-26,3.81457
117,2016-04-27,4.12315
118,2016-04-28,3.87399
119,2016-04-29,3.8
120,2016-04-30,3.83853
121,2016-05-01,3.69254
122,2016-05-02,3.67215
123,2016-05-03,3.6944
124,2016-05-04,3.75
125,2016-05-05,3.73
126,2016-05-06,3.74534
127,2016-05-07,3.82774
128,2016-05-08,3.93453
129,2016-05-09,3.9264
130,2016-05-10,4.03778
131,2016-05-11,3.79712
132,2016-05-12,3.86099
133,2016-05-13,3.87678
134,2016-05-14,3.92548
135,2016-05-15,3.98954
136,2016-05-16,4.1
137,2016-05-17,4.01163
138,2016-05-18,3.99571
139,2016-05-19,4.00677
140,2016-05-20,3.80978
141,2016-05-21,3.82371
142,2016-05-22,3.83908
143,2016-05-23,3.86145
144,2016-05-24,3.95068
145,2016-05-25,3.95357
146,2016-05-26,3.93109
147,2016-05-27,3.99898
148,2016-05-28,4.41961
149,2016-05-29,4.54663
150,2016-05-30,4.47025
151,2016-05-31,4.47715
152,2016-06-01,4.5568
153,2016-06-02,4.65148
154,2016-06-03,4.69049
155,2016-06-04,4.88618
156,2016-06-05,4.83228
157,2016-06-06,4.89413
158,2016-06-07,4.99629
159,2016-06-08,4.7673
160,2016-06-09,4.8
161,2016-06-10,4.75447
162,2016-06-11,4.86445
163,2016-06-12,5.0
164,2016-06-13,5.28101
165,2016-06-14,5.25872
166,2016-06-15,5.1661
167,2016-06-16,5.20637
168,2016-06-17,5.71709
169,2016-06-18,5.89187
170,2016-06-19,5.58396
171,2016-06-20,5.5304
172,2016-06-21,5.33883
173,2016-06-22,4.87
174,2016-06-23,4.07154
175,2016-06-24,4.07699
176,2016-06-25,4.32834
177,2016-06-26,4.27775
178,2016-06-27,4.03
179,2016-06-28,4.24816
180,2016-06-29,4.08491
181,2016-06-30,4.06146
182,2016-07-01,4.16053
183,2016-07-02,4.18752
184,2016-07-03,4.5241
185,2016-07-04,4.28375
186,2016-07-05,4.46024
187,2016-07-06,4.54996
188,2016-07-07,4.39337
189,2016-07-08,4.00351
190,2016-07-09,4.25
191,2016-07-10,4.15
192,2016-07-11,4.12997
193,2016-07-12,4.20323
194,2016-07-13,4.2
195,2016-07-14,4.17853
196,2016-07-15,4.17491
197,2016-07-16,4.175
198,2016-07-17,4.10239
199,2016-07-18,4.13161
200,2016-07-19,4.18051
201,2016-07-20,4.18098
202,2016-07-21,4.14282
203,2016-07-22,4.11099
204,2016-07-23,4.09995
205,2016-07-24,3.9517
