date,LIBOR,eonia,fed_rate
04/01/2016,0.3791,-0.335,0.37
06/01/2016,0.3855,-0.333,0.37
07/01/2016,0.4061,-0.321,0.41
08/01/2016,0.4144,-0.33,0.4
11/01/2016,0.43456,-0.348,0.41
12/01/2016,0.43422,-0.344,0.41
13/01/2016,0.3663,-0.237,0.36
14/01/2016,0.3661,-0.24,0.36
15/01/2016,0.3661,-0.239,0.36
19/01/2016,0.366,-0.239,0.36
20/01/2016,0.3655,-0.238,0.37
21/01/2016,0.3658,-0.24,0.37
22/01/2016,0.3659,-0.241,0.38
25/01/2016,0.366,-0.238,0.38
26/01/2016,0.3657,-0.236,0.38
27/01/2016,0.3659,-0.237,0.38
28/01/2016,0.3684,-0.239,0.38
29/01/2016,0.3674,-0.228,0.29
02/02/2016,0.369,-0.232,0.38
03/02/2016,0.3715,-0.234,0.37
08/02/2016,0.4179,-0.331,0.4
09/02/2016,0.42044,-0.339,0.4
11/02/2016,0.43733,-0.343,0.41
12/02/2016,0.43478,-0.347,0.41
16/02/2016,0.371,-0.242,0.38
17/02/2016,0.37,-0.244,0.37
18/02/2016,0.3714,-0.244,0.38
19/02/2016,0.3709,-0.243,0.38
22/02/2016,0.371,-0.242,0.38
23/02/2016,0.371,-0.246,0.38
24/02/2016,0.3715,-0.247,0.38
25/02/2016,0.3743,-0.249,0.37
26/02/2016,0.3745,-0.243,0.37
29/02/2016,0.3715,-0.227,0.29
02/03/2016,0.3686,-0.247,0.38
03/03/2016,0.373,-0.238,0.37
08/03/2016,0.4174,-0.332,0.4
10/03/2016,0.42267,-0.321,0.4
11/03/2016,0.43678,-0.343,0.41
14/03/2016,0.3743,-0.243,0.36
15/03/2016,0.3753,-0.248,0.37
16/03/2016,0.3743,-0.339,0.37
17/03/2016,0.3748,-0.347,0.37
18/03/2016,0.3743,-0.345,0.37
21/03/2016,0.3743,-0.345,0.37
22/03/2016,0.3743,-0.344,0.37
23/03/2016,0.3753,-0.346,0.37
24/03/2016,0.3745,-0.349,0.37
29/03/2016,0.3755,-0.347,0.37
30/03/2016,0.3772,-0.347,0.37
31/03/2016,0.3831,-0.303,0.25
01/04/2016,0.3658,-0.241,0.36
04/04/2016,0.3794,-0.331,0.37
05/04/2016,0.3858,-0.336,0.37
07/04/2016,0.4061,-0.315,0.41
08/04/2016,0.4179,-0.337,0.4
11/04/2016,0.43511,-0.343,0.41
13/04/2016,0.3802,-0.337,0.37
14/04/2016,0.3797,-0.34,0.37
15/04/2016,0.3807,-0.341,0.37
18/04/2016,0.3812,-0.348,0.37
19/04/2016,0.3827,-0.34,0.37
20/04/2016,0.3822,-0.343,0.37
21/04/2016,0.3817,-0.342,0.37
22/04/2016,0.3812,-0.34,0.37
25/04/2016,0.3812,-0.341,0.37
26/04/2016,0.3807,-0.342,0.37
27/04/2016,0.3802,-0.34,0.37
28/04/2016,0.3827,-0.337,0.37
29/04/2016,0.3837,-0.333,0.3
02/05/2016,0.37,-0.236,0.38
04/05/2016,0.3777,-0.332,0.37
05/05/2016,0.385,-0.341,0.37
09/05/2016,0.42044,-0.339,0.4
10/05/2016,0.42822,-0.342,0.4
12/05/2016,0.43478,-0.347,0.41
13/05/2016,0.3855,-0.341,0.37
16/05/2016,0.3855,-0.347,0.37
17/05/2016,0.386,-0.334,0.37
18/05/2016,0.385,-0.337,0.37
19/05/2016,0.384,-0.34,0.37
20/05/2016,0.3845,-0.335,0.37
23/05/2016,0.385,-0.338,0.37
24/05/2016,0.385,-0.34,0.37
25/05/2016,0.3861,-0.342,0.37
26/05/2016,0.3861,-0.356,0.37
27/05/2016,0.385,-0.346,0.37
31/05/2016,0.3865,-0.324,0.29
01/06/2016,0.3661,-0.253,0.36
06/06/2016,0.3861,-0.331,0.37
07/06/2016,0.4112,-0.326,0.4
09/06/2016,0.42044,-0.341,0.4
10/06/2016,0.42878,-0.346,0.4
13/06/2016,0.3855,-0.327,0.37
14/06/2016,0.3855,-0.33,0.37
15/06/2016,0.385,-0.334,0.37
16/06/2016,0.3855,-0.335,0.38
17/06/2016,0.3865,-0.341,0.38
20/06/2016,0.3901,-0.341,0.38
21/06/2016,0.3901,-0.335,0.38
22/06/2016,0.3896,-0.34,0.38
23/06/2016,0.3911,-0.345,0.39
24/06/2016,0.3934,-0.323,0.4
27/06/2016,0.4001,-0.336,0.41
28/06/2016,0.4016,-0.337,0.41
29/06/2016,0.4051,-0.337,0.41
30/06/2016,0.4116,-0.293,0.3
01/07/2016,0.3651,-0.233,0.36
06/07/2016,0.3865,-0.333,0.37
07/07/2016,0.4127,-0.329,0.4
11/07/2016,0.43456,-0.344,0.41
12/07/2016,0.43367,-0.349,0.41
13/07/2016,0.4127,-0.326,0.4
14/07/2016,0.4122,-0.332,0.4
15/07/2016,0.4152,-0.333,0.4
18/07/2016,0.4159,-0.334,0.4
19/07/2016,0.4159,-0.336,0.4
20/07/2016,0.4174,-0.333,0.4
21/07/2016,0.4179,-0.335,0.4
22/07/2016,0.4179,-0.335,0.4
25/07/2016,0.4179,-0.334,0.4
26/07/2016,0.4179,-0.334,0.4
27/07/2016,0.4164,-0.331,0.4
28/07/2016,0.4159,-0.335,0.4
29/07/2016,0.4129,-0.321,0.3
01/08/2016,0.3662,-0.235,0.36
02/08/2016,0.3763,-0.242,0.38
03/08/2016,0.372,-0.234,0.36
04/08/2016,0.3775,-0.334,0.37
08/08/2016,0.4189,-0.342,0.4
09/08/2016,0.42211,-0.337,0.4
11/08/2016,0.434,-0.344,0.41
12/08/2016,0.43311,-0.346,0.41
15/08/2016,0.41889,-0.346,0.4
16/08/2016,0.41778,-0.336,0.4
17/08/2016,0.41722,-0.338,0.4
18/08/2016,0.41722,-0.339,0.4
19/08/2016,0.41556,-0.342,0.4
22/08/2016,0.41667,-0.341,0.4
23/08/2016,0.41778,-0.34,0.4
24/08/2016,0.41833,-0.339,0.4
25/08/2016,0.41989,-0.341,0.4
26/08/2016,0.41833,-0.343,0.4
30/08/2016,0.41944,-0.341,0.4
31/08/2016,0.41944,-0.329,0.3
02/09/2016,0.3771,-0.237,0.38
06/09/2016,0.3856,-0.331,0.37
08/09/2016,0.4188,-0.338,0.4
09/09/2016,0.42156,-0.342,0.4
12/09/2016,0.43422,-0.348,0.41
13/09/2016,0.421,-0.346,0.4
14/09/2016,0.42211,-0.342,0.4
15/09/2016,0.42156,-0.345,0.4
16/09/2016,0.42044,-0.346,0.4
19/09/2016,0.42156,-0.347,0.4
20/09/2016,0.42211,-0.346,0.4
21/09/2016,0.42211,-0.347,0.4
22/09/2016,0.42322,-0.342,0.4
23/09/2016,0.42322,-0.345,0.4
26/09/2016,0.42433,-0.345,0.4
27/09/2016,0.42544,-0.343,0.4
28/09/2016,0.42063,-0.346,0.4
29/09/2016,0.41989,-0.343,0.4
30/09/2016,0.42378,-0.329,0.29
03/10/2016,0.3725,-0.242,0.36
05/10/2016,0.3845,-0.333,0.37
06/10/2016,0.3861,-0.329,0.37
10/10/2016,0.42656,-0.345,0.4
11/10/2016,0.43233,-0.353,0.41
13/10/2016,0.431,-0.348,0.41
14/10/2016,0.43044,-0.35,0.41
17/10/2016,0.43322,-0.352,0.41
18/10/2016,0.43322,-0.349,0.41
19/10/2016,0.43378,-0.351,0.41
20/10/2016,0.43322,-0.349,0.41
21/10/2016,0.43322,-0.348,0.41
24/10/2016,0.43211,-0.35,0.41
25/10/2016,0.43433,-0.352,0.41
26/10/2016,0.43433,-0.351,0.41
27/10/2016,0.43489,-0.354,0.41
28/10/2016,0.43544,-0.351,0.41
31/10/2016,0.43344,-0.332,0.31
01/11/2016,0.3661,-0.236,0.36
02/11/2016,0.3715,-0.239,0.38
03/11/2016,0.3725,-0.242,0.36
04/11/2016,0.3792,-0.333,0.37
07/11/2016,0.4137,-0.326,0.4
08/11/2016,0.4202,-0.344,0.4
10/11/2016,0.42767,-0.348,0.41
11/11/2016,0.43233,-0.35,0.41
14/11/2016,0.43344,-0.347,0.41
15/11/2016,0.43289,-0.349,0.41
16/11/2016,0.43289,-0.356,0.41
17/11/2016,0.43456,-0.349,0.41
18/11/2016,0.43367,-0.35,0.41
21/11/2016,0.43367,-0.349,0.41
22/11/2016,0.43367,-0.351,0.41
23/11/2016,0.43422,-0.348,0.41
25/11/2016,0.43478,-0.35,0.41
28/11/2016,0.43422,-0.353,0.41
29/11/2016,0.43422,-0.351,0.41
30/11/2016,0.43056,-0.343,0.31
01/12/2016,0.3661,-0.233,0.36
02/12/2016,0.3708,-0.24,0.38
05/12/2016,0.385,-0.342,0.37
07/12/2016,0.4122,-0.324,0.4
08/12/2016,0.4191,-0.347,0.4
09/12/2016,0.421,-0.344,0.4
12/12/2016,0.437,-0.35,0.41
13/12/2016,0.437,-0.352,0.41
